epoch;acc;loss;val_acc;val_loss
0;0.7848029715762274;0.4206898616210531;0.9479166666666666;0.15332746372008935
1;0.9496001938502225;0.16315401059226875;0.9524576949746641;0.14207336685404867
2;0.9550520959534771;0.14890623046585463;0.9516518932019002;0.14247234831477826
3;0.9573943946080585;0.13971883127150364;0.9564867038384837;0.1293130558911684
4;0.9582424682981988;0.13571940950749042;0.9548751010614283;0.12433705720855381
5;0.9592520798045073;0.13195784045275766;0.9613215144750671;0.12248594478961443
6;0.9585655439834913;0.13127125531143755;0.9589041091567754;0.11409169772308167
7;0.9592520797996931;0.13180945964430668;0.9613215148112737;0.10005028155616558
8;0.9593328486909274;0.13122259533968084;0.9548751006291626;0.12015627729229923
9;0.9584847750296722;0.13082215162191932;0.9629331184528606;0.10302935839509839
10;0.9601809223521826;0.13454880927162144;0.9540692992886644;0.13821718215606177
11;0.9576770858573621;0.13747393816779324;0.9661563251116504;0.1090735011072912
12;0.9569905500411602;0.13884438900476356;0.9589041091567754;0.13810274324332583
13;0.9532751796867762;0.14835538903043527;0.9645447219023293;0.10503377504256538
14;0.9535174864712059;0.1482416351721703;0.953263496747428;0.13436094789760522
15;0.9527501817348845;0.15658322031889615;0.9613215149073328;0.12043127360266666
16;0.9514982634730317;0.15492345539477018;0.9524576949746641;0.16116891280236886
17;0.9539213310718035;0.14824979350993234;0.9548751002929559;0.16598031978144653
18;0.954729020272999;0.1661096845491568;0.9548751010614283;0.14387411079658413
19;0.9538809465828586;0.1519410832849836;0.9645447219983884;0.11537247481339406
